unit, 2018/z3, 2018/cvc4, 2018/altergo, 2019/z3, 2019/cvc4, 2019/altergo, 2020/z3, 2020/cvc4, 2020/altergo, 
is_sorted_p, 0, 0, 6, 0, 0, 0, 0, 0, 1, 
partial_sort_p, 8, 21, 38, 20, 3, 21, 31, 2, 11, 
total, 8, 21, 38, 20, 3, 21, 31, 2, 11, 

, 2018, 2019, 2020, 
z3, 8, 20, 31, 
cvc4, 21, 3, 2, 
altergo, 38, 21, 11, 
