unit, 2018/z3, 2018/cvc4, 2018/altergo, 2018/z3+cvc4, 2018/cvc4+altergo, 2018/altergo+z3, 2018, 2019/z3, 2019/cvc4, 2019/altergo, 2019/z3+cvc4, 2019/cvc4+altergo, 2019/altergo+z3, 2019, 2020/z3, 2020/cvc4, 2020/altergo, 2020/z3+cvc4, 2020/cvc4+altergo, 2020/altergo+z3, 2020, 
heap_sort_p, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 
insertion_sort_p, 0, 2, 6, 0, 1, 0, 0, 0, 4, 2, 0, 1, 0, 0, 0, 1, 2, 0, 1, 0, 0, 
selection_sort_p, 0, 0, 3, 0, 0, 0, 0, 1, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
total, 0, 4, 9, 0, 1, 0, 0, 1, 8, 2, 1, 1, 0, 0, 0, 4, 2, 0, 1, 0, 0, 

, 2018, 2019, 2020, 
z3, 0, 1, 0, 
cvc4, 4, 8, 4, 
altergo, 9, 2, 2, 
z3+cvc4, 0, 1, 0, 
cvc4+altergo, 1, 1, 1, 
altergo+z3, 0, 0, 0, 
all, 0, 0, 0, 
