unit, 2018/z3, 2018/cvc4, 2018/altergo, 2018/z3+cvc4, 2018/cvc4+altergo, 2018/altergo+z3, 2018, 2019/z3, 2019/cvc4, 2019/altergo, 2019/z3+cvc4, 2019/cvc4+altergo, 2019/altergo+z3, 2019, 2020/z3, 2020/cvc4, 2020/altergo, 2020/z3+cvc4, 2020/cvc4+altergo, 2020/altergo+z3, 2020, 
is_sorted_p, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 
partial_sort_p, 0, 9, 2, 0, 0, 0, 0, 4, 8, 3, 4, 1, 1, 1, 3, 8, 2, 3, 1, 1, 1, 
total, 0, 11, 2, 0, 0, 0, 0, 4, 10, 3, 4, 1, 1, 1, 3, 10, 2, 3, 1, 1, 1, 

, 2018, 2019, 2020, 
z3, 0, 4, 3, 
cvc4, 11, 10, 10, 
altergo, 2, 3, 2, 
z3+cvc4, 0, 4, 3, 
cvc4+altergo, 0, 1, 1, 
altergo+z3, 0, 1, 1, 
all, 0, 1, 1, 
