unit, 2018/z3, 2018/cvc4, 2018/altergo, 2019/z3, 2019/cvc4, 2019/altergo, 2020/z3, 2020/cvc4, 2020/altergo, 
heap_sort_p, 0, 0, 10, 0, 0, 4, 0, 1, 10, 
insertion_sort_p, 0, 10, 4, 3, 14, 36, 5, 16, 21, 
selection_sort_p, 0, 0, 14, 1, 0, 49, 25, 3, 8, 
total, 0, 10, 14, 3, 14, 49, 25, 16, 21, 

, 2018, 2019, 2020, 
z3, 0, 3, 25, 
cvc4, 10, 14, 16, 
altergo, 14, 49, 21, 
