unit, 2018/z3, 2018/cvc4, 2018/altergo, 2018/z3+cvc4, 2018/cvc4+altergo, 2018/altergo+z3, 2018, 2019/z3, 2019/cvc4, 2019/altergo, 2019/z3+cvc4, 2019/cvc4+altergo, 2019/altergo+z3, 2019, 2020/z3, 2020/cvc4, 2020/altergo, 2020/z3+cvc4, 2020/cvc4+altergo, 2020/altergo+z3, 2020, 
is_heap_p, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 
make_heap_p, 0, 3, 2, 0, 1, 0, 0, 2, 1, 1, 0, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0, 
pop_heap_p, 0, 2, 10, 0, 2, 0, 0, 0, 7, 4, 0, 1, 0, 0, 0, 3, 7, 0, 2, 0, 0, 
push_heap_p, 0, 2, 1, 0, 0, 0, 0, 2, 3, 4, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 
sort_heap_p, 0, 1, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 
total, 0, 9, 14, 0, 4, 0, 0, 7, 14, 9, 2, 1, 1, 0, 3, 5, 13, 1, 2, 0, 0, 

, 2018, 2019, 2020, 
z3, 0, 7, 3, 
cvc4, 9, 14, 5, 
altergo, 14, 9, 13, 
z3+cvc4, 0, 2, 1, 
cvc4+altergo, 4, 1, 2, 
altergo+z3, 0, 1, 0, 
all, 0, 0, 0, 
