unit, 2018/z3, 2018/cvc4, 2018/altergo, 2019/z3, 2019/cvc4, 2019/altergo, 2020/z3, 2020/cvc4, 2020/altergo, 
classic_lemmas, 0, 0, 7, 0, 4, 1, 4, 0, 1, 
partial_sort_lemmas, 0, 0, 4, 0, 3, 1, 0, 0, 1, 
pop_heap_lemmas, 0, 0, 7, 0, 0, 3, 0, 0, 5, 
push_heap_lemmas, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
remove_copy_lemmas, 0, 0, 0, 0, 0, 17, 0, 0, 12, 
shuffle_lemmas, 0, 0, 4, 0, 4, 0, 5, 0, 0, 
total, 0, 0, 7, 0, 4, 17, 5, 0, 12, 

, 2018, 2019, 2020, 
z3, 0, 0, 5, 
cvc4, 0, 4, 0, 
altergo, 7, 17, 12, 
