unit, 2018/z3, 2018/cvc4, 2018/altergo, 2019/z3, 2019/cvc4, 2019/altergo, 2020/z3, 2020/cvc4, 2020/altergo, 
heap_sort_p, 0, 0, 8, 0, 0, 3, 0, 1, 10, 
insertion_sort_p, 0, 9, 3, 3, 14, 16, 5, 16, 21, 
selection_sort_p, 0, 0, 11, 0, 11, 47, 25, 3, 8, 
total, 0, 9, 11, 3, 14, 47, 25, 16, 21, 

, 2018, 2019, 2020, 
z3, 0, 3, 25, 
cvc4, 9, 14, 16, 
altergo, 11, 47, 21, 
