unit, 2018/z3, 2018/cvc4, 2018/altergo, 2018/z3+cvc4, 2018/cvc4+altergo, 2018/altergo+z3, 2018, 2019/z3, 2019/cvc4, 2019/altergo, 2019/z3+cvc4, 2019/cvc4+altergo, 2019/altergo+z3, 2019, 2020/z3, 2020/cvc4, 2020/altergo, 2020/z3+cvc4, 2020/cvc4+altergo, 2020/altergo+z3, 2020, 
a-cofuse, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
a-cofuve, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
binary_trees, 28, 16, 103, 7, 15, 24, 6, 31, 17, 37, 5, 11, 5, 3, 35, 21, 50, 5, 11, 13, 3, 
red_black_trees, 33, 75, 176, 30, 77, 33, 29, 10, 33, 140, 4, 32, 8, 4, 61, 51, 155, 43, 50, 59, 44, 
search_trees, 37, 77, 276, 30, 69, 33, 27, 35, 69, 118, 24, 46, 16, 15, 67, 103, 178, 51, 68, 37, 31, 
tree_model, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
total, 98, 168, 555, 67, 161, 90, 62, 76, 119, 295, 33, 89, 29, 22, 163, 175, 383, 99, 129, 109, 78, 

, 2018, 2019, 2020, 
z3, 98, 76, 163, 
cvc4, 168, 119, 175, 
altergo, 555, 295, 383, 
z3+cvc4, 67, 33, 99, 
cvc4+altergo, 161, 89, 129, 
altergo+z3, 90, 29, 109, 
all, 62, 22, 78, 
