unit, 2018/z3, 2018/cvc4, 2018/altergo, 2019/z3, 2019/cvc4, 2019/altergo, 2020/z3, 2020/cvc4, 2020/altergo, 
is_sorted_p, 0, 0, 10, 0, 0, 1, 0, 0, 2, 
partial_sort_p, 14, 35, 31, 30, 5, 37, 26, 3, 17, 
total, 14, 35, 31, 30, 5, 37, 26, 3, 17, 

, 2018, 2019, 2020, 
z3, 14, 30, 26, 
cvc4, 35, 5, 3, 
altergo, 31, 37, 17, 
