unit, 2018/z3, 2018/cvc4, 2018/altergo, 2018/z3+cvc4, 2018/cvc4+altergo, 2018/altergo+z3, 2018, 2019/z3, 2019/cvc4, 2019/altergo, 2019/z3+cvc4, 2019/cvc4+altergo, 2019/altergo+z3, 2019, 2020/z3, 2020/cvc4, 2020/altergo, 2020/z3+cvc4, 2020/cvc4+altergo, 2020/altergo+z3, 2020, 
binary_search_p, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
search_equal_range_opt_p, 0, 0, 8, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 
search_equal_range_p, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 
search_lower_bound_p, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
search_upper_bound_p, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
total, 1, 1, 20, 1, 1, 1, 1, 1, 3, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 

, 2018, 2019, 2020, 
z3, 1, 1, 1, 
cvc4, 1, 3, 1, 
altergo, 20, 0, 1, 
z3+cvc4, 1, 1, 1, 
cvc4+altergo, 1, 0, 0, 
altergo+z3, 1, 0, 0, 
all, 1, 0, 0, 
